iter	Passed	Remaining
0	11	6988
1	23	7032
2	35	7076
3	48	7115
4	61	7267
5	75	7374
6	87	7326
7	99	7271
8	111	7276
9	125	7323
10	138	7342
11	152	7397
12	165	7409
13	177	7353
14	190	7337
15	204	7389
16	217	7394
17	230	7365
18	242	7336
19	254	7305
20	266	7265
21	278	7252
22	291	7234
23	305	7253
24	317	7222
25	328	7182
26	340	7150
27	353	7139
28	366	7139
29	379	7134
30	390	7100
31	404	7103
32	417	7095
33	431	7100
34	443	7090
35	456	7081
36	471	7091
37	486	7118
38	499	7110
39	511	7087
40	526	7094
41	539	7085
42	552	7083
43	564	7060
44	577	7049
45	590	7033
46	604	7033
47	618	7033
48	631	7026
49	645	7020
50	656	6992
51	669	6977
52	682	6964
53	696	6968
54	712	6984
55	727	6990
56	741	6988
57	756	6986
58	768	6970
59	781	6951
60	793	6931
61	805	6909
62	818	6895
63	831	6888
64	846	6887
65	860	6880
66	873	6873
67	887	6868
68	901	6855
69	913	6837
70	926	6827
71	941	6827
72	957	6832
73	974	6850
74	990	6854
75	1003	6839
76	1014	6813
77	1026	6793
78	1040	6780
79	1053	6766
80	1066	6753
81	1079	6741
82	1092	6728
83	1105	6712
84	1119	6701
85	1130	6679
86	1144	6671
87	1158	6658
88	1169	6637
89	1182	6623
90	1194	6600
91	1206	6581
92	1220	6573
93	1233	6558
94	1245	6542
95	1259	6534
96	1274	6529
97	1288	6519
98	1302	6511
99	1316	6505
100	1330	6493
101	1344	6487
102	1358	6474
103	1371	6461
104	1384	6450
105	1399	6444
106	1415	6443
107	1429	6433
108	1443	6422
109	1463	6438
110	1482	6452
111	1504	6475
112	1534	6531
113	1553	6542
114	1569	6538
115	1591	6557
116	1605	6546
117	1620	6536
118	1632	6518
119	1646	6502
120	1659	6487
121	1672	6470
122	1685	6452
123	1699	6441
124	1712	6423
125	1725	6409
126	1738	6392
127	1752	6380
128	1766	6367
129	1778	6347
130	1790	6327
131	1803	6311
132	1817	6298
133	1830	6282
134	1843	6267
135	1855	6249
136	1870	6238
137	1883	6225
138	1895	6205
139	1908	6189
140	1922	6176
141	1938	6170
142	1954	6163
143	1969	6153
144	1985	6146
145	2001	6140
146	2016	6132
147	2031	6121
148	2046	6112
149	2060	6099
150	2075	6089
151	2087	6069
152	2099	6052
153	2114	6040
154	2128	6027
155	2144	6020
156	2157	6005
157	2170	5990
158	2182	5971
159	2194	5953
160	2208	5938
161	2220	5920
162	2232	5901
163	2246	5889
164	2259	5875
165	2272	5860
166	2285	5844
167	2298	5828
168	2310	5810
169	2324	5797
170	2337	5781
171	2350	5767
172	2363	5751
173	2375	5734
174	2389	5720
